Outcome,Sequence,Num_Passes,Pass_Outcomes
Pass failed,Van der Sar → Ferdinand → Van der Sar → Ferdinand → Vidić → Park → Fábio → Ferdinand → Evra → Park → Vidić → Giggs → Fábio → Valencia → Rooney → Giggs,16,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar → Giggs → Vidić → Ferdinand → Valencia → Rooney → Carrick → Valencia → Fábio → Ferdinand,10,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar → Evra → Park → Evra → Rooney → Carrick → Rooney,7,"[{'from': 'Van der Sar', 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Vidić'), 'success': np.False_}]"
Success,Van der Sar → Vidić → Giggs → Evra → Rooney → Carrick → Chicharito,6,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Ferdinand → Rooney → Park → Giggs → Fábio → Giggs → Vidić → Evra → Park → Carrick → Rooney → Valencia → Ferdinand → Carrick → Fábio → Valencia → Ferdinand → Vidić → Evra → Giggs,21,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Valencia'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Valencia → Fábio → Giggs → Vidić → Evra → Rooney → Carrick → Chicharito,9,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Carrick → Giggs → Fábio → Valencia → Ferdinand → Vidić → Evra → Rooney → Park → Rooney → Park → Giggs → Fábio → Ferdinand → Carrick → Van der Sar,17,"[{'from': 'Van der Sar', 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Fábio → Ferdinand → Carrick → Rooney → Giggs → Evra → Park → Carrick → Giggs → Fábio → Valencia → Ferdinand → Van der Sar → Carrick → Chicharito,15,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Ferdinand → Rooney → Giggs → Fábio → Valencia → Vidić → Park → Carrick → Evra,10,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Vidić → Evra → Park → Rooney → Giggs → Park → Carrick → Chicharito,9,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Fábio → Ferdinand,3,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
Success,Van der Sar → Carrick → Chicharito,2,"[{'from': 'Van der Sar', 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Ferdinand → Carrick → Giggs → Rooney → Valencia → Ferdinand → Evra,8,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Success,Van der Sar → Park → Rooney → Carrick → Van der Sar → Evra → Park → Rooney → Valencia → Fábio → Giggs → Ferdinand → Vidić → Carrick → Rooney → Fábio → Valencia → Ferdinand → Van der Sar → Giggs → Park → Carrick → Chicharito,22,"[{'from': 'Van der Sar', 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Ferdinand → Carrick → Rooney → Evra → Vidić → Ferdinand → Giggs → Rooney → Park → Fábio → Valencia → Giggs → Evra → Vidić → Van der Sar → Park → Carrick → Evra,19,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Pass failed,Van der Sar → Carrick → Evra → Park → Valencia → Rooney → Giggs → Fábio → Ferdinand → Valencia → Vidić → Carrick → Rooney → Fábio → Giggs → Park → Evra → Vidić → Van der Sar → Ferdinand,20,"[{'from': 'Van der Sar', 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Park'), 'success': np.False_}]"
Pass failed,Van der Sar → Giggs,2,"[{'from': 'Van der Sar', 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Valencia'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Valencia → Rooney → Giggs → Evra → Rooney → Valencia → Ferdinand → Carrick → Vidić → Evra → Park → Fábio → Giggs → Rooney → Chicharito,16,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Fábio → Giggs → Rooney → Carrick → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar → Vidić → Evra → Park → Evra → Rooney → Carrick → Van der Sar → Ferdinand → Giggs,10,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Chicharito'), 'success': np.False_}]"
Success,Van der Sar → Ferdinand → Rooney → Evra → Vidić → Ferdinand → Giggs → Park → Giggs → Evra → Carrick → Chicharito,11,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Success,Van der Sar → Park → Fábio → Valencia → Rooney → Giggs → Vidić → Evra → Carrick → Chicharito,9,"[{'from': 'Van der Sar', 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Evra → Park → Vidić → Carrick → Chicharito,5,"[{'from': 'Van der Sar', 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Fábio → Valencia → Ferdinand → Rooney → Carrick → Chicharito,6,"[{'from': 'Van der Sar', 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Vidić → Van der Sar → Carrick → Valencia → Fábio → Rooney → Giggs → Park → Evra → Park → Carrick → Chicharito,12,"[{'from': 'Van der Sar', 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Van der Sar'), 'success': np.True_}, {'from': np.str_('Van der Sar'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Fábio'), 'success': np.True_}, {'from': np.str_('Fábio'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Evra'), 'success': np.True_}, {'from': np.str_('Evra'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Success,Van der Sar → Ferdinand → Valencia → Ferdinand → Valencia → Vidić → Carrick → Giggs → Park → Rooney → Chicharito,10,"[{'from': 'Van der Sar', 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Ferdinand'), 'success': np.True_}, {'from': np.str_('Ferdinand'), 'to': np.str_('Valencia'), 'success': np.True_}, {'from': np.str_('Valencia'), 'to': np.str_('Vidić'), 'success': np.True_}, {'from': np.str_('Vidić'), 'to': np.str_('Carrick'), 'success': np.True_}, {'from': np.str_('Carrick'), 'to': np.str_('Giggs'), 'success': np.True_}, {'from': np.str_('Giggs'), 'to': np.str_('Park'), 'success': np.True_}, {'from': np.str_('Park'), 'to': np.str_('Rooney'), 'success': np.True_}, {'from': np.str_('Rooney'), 'to': np.str_('Chicharito'), 'success': np.True_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
Pass failed,Van der Sar,1,"[{'from': 'Van der Sar', 'to': np.str_('Rooney'), 'success': np.False_}]"
